SYMBOL,NAME OF COMPANY, DATE OF LISTING, ISIN NUMBER
AMDIND,AMD Industries Limited,19-Mar-07,INE005I01014
AMIORG,Ami Organics Limited,14-Sep-21,INE00FF01017
AMJLAND,Amj Land Holdings Limited,08-Feb-95,INE606A01024
AMRUTANJAN,Amrutanjan Health Care Limited,02-Jan-15,INE098F01031
ANANDRATHI,Anand Rathi Wealth Limited,14-Dec-21,INE463V01026
ANANTRAJ,Anant Raj Limited,27-Sep-06,INE242C01024
ANDHRAPAP,ANDHRA PAPER LIMITED,13-May-04,INE435A01028
ANDHRSUGAR,The Andhra Sugars Limited,01-Nov-95,INE715B01021
ANDREWYU,Andrew Yule & Company Limited,05-Aug-21,INE449C01025
ANGELONE,Angel One Limited,05-Oct-20,INE732I01013
ANIKINDS,Anik Industries Limited,21-May-08,INE087B01017
ANKITMETAL,Ankit Metal & Power Limited,14-Mar-13,INE106I01010
ANMOL,Anmol India Limited,04-Jun-21,INE02AR01019
ANSALAPI,Ansal Properties & Infrastructure Limited,27-Jan-06,INE436A01026
ANTGRAPHIC,Antarctica Limited,31-Dec-97,INE414B01021
ANUP,The Anup Engineering Limited,01-Mar-19,INE294Z01018
ANURAS,Anupam Rasayan India Limited,24-Mar-21,INE930P01018
APARINDS,Apar Industries Limited,12-Jul-04,INE372A01015
APCL,Anjani Portland Cement Limited,10-Apr-17,INE071F01012
APCOTEXIND,Apcotex Industries Limited,06-Sep-95,INE116A01032
APEX,Apex Frozen Foods Limited,04-Sep-17,INE346W01013
APLAPOLLO,APL Apollo Tubes Limited,14-Dec-11,INE702C01027
APLLTD,Alembic Pharmaceuticals Limited,20-Sep-11,INE901L01018
APOLLO,Apollo Micro Systems Limited,22-Jan-18,INE713T01028
APOLLOHOSP,Apollo Hospitals Enterprise Limited,10-Jan-96,INE437A01024
APOLLOPIPE,Apollo Pipes Limited,11-Nov-19,INE126J01016
APOLLOTYRE,Apollo Tyres Limited,31-May-95,INE438A01022
APOLSINHOT,Apollo Sindoori Hotels Limited,28-Jan-15,INE451F01024
APTECHT,Aptech Limited,27-Sep-02,INE266F01018
APTUS,Aptus Value Housing Finance India Limited,24-Aug-21,INE852O01025
